RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Duke,ACC,31,29-2,"128.5
5","90.5
1",".9825
1","57.4
13","45.8
10","15.5
96","18.5
73","37.2
16","24.9
8","37.9
104","22.7
2","61.0
4","46.2
16","35.3
103","30.1
12","44.2
83","45.6
339","65.9
264","+12.0
2"
2,Michigan,B10,31,29-2,"129.3
4","91.8
3",".9810
2","58.7
10","44.2
1","16.9
185","15.8
232","36.0
25","28.1
70","39.0
81","26.3
15","61.6
2","44.1
3","36.5
39","29.6
8","42.2
130","41.7
260","71.7
17","+12.8
1"
3,Florida,SEC,31,25-6,"127.1
8","92.3
4",".9753
3","54.0
69","46.0
12","16.1
138","15.4
258","42.7
2","24.8
7","38.5
92","33.8
145","58.3
20","44.8
6","31.3
310","32.2
76","37.4
223","33.4
22","70.6
30","+8.1
5"
4,Arizona,B12,31,29-2,"125.7
13","91.6
2",".9746
4","55.0
41","44.6
2","15.2
73","16.9
161","38.4
5","26.2
23","42.9
23","28.6
38","55.7
49","43.4
2","35.3
103","31.2
38","26.9
363","37.1
103","70.3
34","+11.6
3"
5,Houston,B12,31,26-5,"125.9
11","93.6
5",".9678
5","52.3
137","46.9
20","12.7
2","21.4
10","36.0
25","31.0
201","26.6
354","39.0
282","52.7
145","46.6
21","34.5
155","31.5
48","41.6
140","41.7
260","63.4
351","+7.9
6"
6,Illinois,B10,31,24-7,"132.4
1","98.7
24",".9669
6","55.0
41","47.5
31","13.4
10","11.7
365","39.1
3","26.9
35","33.3
233","19.8
1","57.8
25","47.5
38","34.9
130","31.7
52","50.9
9","41.5
254","65.7
273","+6.9
10"
7,Connecticut,BE,31,27-4,"123.8
24","95.5
11",".9521
7","55.6
31","45.6
7","16.5
163","18.3
89","34.9
51","28.6
90","31.2
278","40.1
298","56.9
36","45.2
8","35.7
73","30.8
35","40.0
168","35.8
70","65.0
305","+8.5
4"
8,Purdue,B10,31,23-8,"131.6
2","101.5
39",".9520
8","57.9
12","52.3
226","13.8
17","15.9
228","35.9
27","26.0
21","28.3
339","27.5
25","58.0
23","53.1
236","38.5
12","34.2
185","40.8
152","45.8
342","65.0
307","+6.5
13"
9,Iowa St.,B12,31,25-6,"122.7
28","94.8
9",".9513
9","56.3
21","49.8
89","15.1
68","22.4
4","35.4
37","28.3
76","34.9
184","28.3
34","55.5
51","50.6
120","38.3
15","32.5
88","38.7
196","43.1
296","67.2
191","+6.4
14"
10,Texas Tech,B12,31,22-9,"127.5
7","99.5
27",".9453
10","56.6
19","49.1
72","15.9
123","14.7
306","33.8
73","30.2
165","27.4
346","31.8
94","54.0
89","50.3
106","39.6
5","31.3
43","47.9
25","35.1
49","66.4
233","+5.2
20"
11,Michigan St.,B10,31,25-6,"122.7
29","95.8
12",".9452
11","53.6
81","48.0
39","17.1
211","14.9
295","38.3
6","22.6
1","36.2
154","30.8
78","53.8
96","47.5
38","35.5
87","32.4
81","36.4
242","45.9
344","65.8
270","+7.8
7"
12,"Gonzaga
   vs. 168 Oregon St.",WCC,31,28-3,"120.7
39","94.6
7",".9431
12","56.3
21","46.5
16","13.6
14","20.7
15","35.0
48","25.0
9","31.0
285","31.8
94","58.6
18","46.2
16","34.0
171","31.2
38","30.7
345","43.5
310","69.4
75","+6.7
12"
13,Tennessee,SEC,31,21-10,"122.1
32","96.2
14",".9394
13","52.1
147","48.0
39","17.5
235","16.4
191","45.3
1","27.3
46","38.0
101","36.0
211","52.7
145","49.3
74","33.8
184","30.8
35","32.1
327","44.3
326","65.5
282","+3.8
26"
14,Louisville,ACC,31,22-9,"125.9
10","99.3
26",".9391
14","56.8
16","48.6
51","16.3
153","16.7
174","33.1
86","26.6
27","33.5
226","33.7
143","59.6
10","48.5
48","36.3
48","32.6
93","53.2
4","39.4
182","70.1
44","+4.0
25"
15,Vanderbilt,SEC,31,24-7,"125.8
12","99.6
29",".9362
15","55.6
31","48.5
50","13.6
14","18.0
100","31.3
148","30.3
179","38.4
94","41.5
315","57.7
27","49.4
77","35.4
97","31.4
45","43.9
94","38.4
144","69.5
69","+5.9
15"
16,Alabama,SEC,31,23-8,"130.3
3","103.2
64",".9355
16","55.6
31","49.1
72","13.2
7","12.7
361","32.3
116","33.0
298","37.1
132","33.0
124","57.6
28","48.6
55","35.9
63","33.3
137","53.9
1","35.3
55","72.9
4","+6.9
9"
17,Nebraska,B10,31,26-5,"118.3
57","93.9
6",".9343
17","55.7
30","47.6
34","14.3
29","19.3
42","26.2
315","27.3
46","27.5
345","24.8
6","58.4
19","50.4
114","35.4
97","29.8
10","50.6
15","49.1
360","66.9
212","+7.6
8"
18,Virginia,ACC,31,27-4,"121.6
36","96.5
15",".9341
18","54.4
59","45.4
6","15.9
123","15.8
232","38.3
6","28.7
97","33.9
216","33.0
124","55.4
55","45.2
8","35.5
87","30.5
27","46.8
34","37.6
119","65.7
271","+6.8
11"
19,Kansas,B12,31,22-9,"119.5
47","95.0
10",".9331
19","52.5
128","45.1
4","15.6
106","13.8
340","29.4
221","30.2
165","31.6
267","27.4
23","52.2
163","45.1
7","35.4
97","30.0
11","35.7
257","42.3
276","67.5
175","+5.9
16"
20,Arkansas,SEC,31,23-8,"128.4
6","102.4
47",".9311
20","56.7
18","51.5
182","12.3
1","16.1
220","32.2
119","31.7
235","36.5
144","32.0
101","56.3
42","54.1
277","38.3
15","31.5
48","33.4
309","38.6
152","71.1
23","+5.8
17"
21,St. John's,BE,31,25-6,"119.2
50","95.9
13",".9247
21","51.0
192","47.7
36","14.7
48","19.4
37","35.9
27","30.1
162","42.5
26","32.0
101","51.1
210","47.6
40","33.8
184","31.9
59","33.9
295","34.1
32","69.8
59","+5.7
18"
22,Wisconsin,B10,31,22-9,"127.1
9","102.7
56",".9203
22","54.7
50","51.3
170","12.9
4","14.5
319","29.7
213","27.3
46","32.9
239","31.2
83","55.0
60","51.9
187","36.3
48","33.6
157","51.8
6","40.1
203","69.0
100","+4.2
23"
23,"Saint Mary's
   vs. 28 Santa Clara",WCC,31,27-4,"119.8
46","98.0
22",".9100
23","53.0
110","46.3
15","16.4
158","15.4
258","37.6
12","23.7
4","35.9
163","25.8
12","50.1
251","46.4
20","38.8
10","30.7
32","36.0
251","36.7
91","65.4
285","+4.5
22"
24,Ohio St.,B10,31,20-11,"125.3
17","102.6
54",".9089
24","56.8
16","50.1
103","15.5
96","15.8
232","31.1
161","30.2
165","37.9
104","34.6
163","58.3
20","52.2
204","36.3
48","31.2
38","39.9
170","40.4
215","66.4
237","+2.3
34"
25,Iowa,B10,31,20-11,"122.4
31","100.6
32",".9055
25","56.3
21","52.5
240","15.1
68","21.0
13","30.3
188","27.8
65","34.2
204","39.0
282","58.8
16","53.6
256","35.3
103","33.8
165","41.4
142","38.9
161","63.0
358","+1.9
38"
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
