0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,D-I AVG:,109.7,0.4897,"EFF. FG%
51.4","TURNOVER%
16.9","REBOUND%
30.6","FT RATE
35.2","2-PT %
51.7","3-PT %
34.0","3P RATE
39.6",67.2,,,,,,,,,,,,
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,27,25-2,"129.1
4","91.6
2",".9811
1","58.6
7","43.5
2","16.5
154","16.4
200","36.3
25","28.7
88","39.7
70","27.2
20","62.3
2","43.2
3","35.7
73","29.2
6","42.3
128","41.5
250","71.8
13","+10.0
1"
2,Arizona,B12,27,25-2,"125.6
13","91.4
1",".9748
2","55.0
46","44.8
4","15.2
74","17.5
133","38.7
6","26.1
20","42.1
38","28.9
40","55.8
51","43.5
4","35.4
90","31.4
48","26.5
363","37.1
105","70.5
29","+9.2
3"
3,Houston,B12,27,23-4,"127.5
6","93.4
6",".9727
3","52.1
144","46.5
16","12.8
3","21.4
12","36.7
20","31.1
199","26.6
352","40.0
292","52.8
136","46.1
15","34.0
176","31.3
46","42.1
131","42.0
265","62.9
353","+6.9
6"
4,Duke,ACC,27,25-2,"126.5
9","92.7
4",".9727
4","57.5
14","46.1
13","15.9
118","18.7
77","36.9
17","25.3
12","37.7
116","22.6
2","61.6
4","46.1
15","34.8
135","30.7
30","43.5
100","44.8
329","65.7
260","+9.8
2"
5,Florida,SEC,27,21-6,"125.4
14","92.3
3",".9716
5","53.1
96","45.9
11","16.6
158","15.5
260","42.6
2","24.1
4","38.9
81","34.0
149","58.1
24","44.9
6","30.1
341","31.9
65","38.7
201","34.1
30","70.2
37","+5.7
14"
6,Illinois,B10,28,22-6,"133.9
1","98.7
27",".9708
6","55.7
32","47.3
29","13.6
13","11.5
365","39.5
3","26.6
28","34.0
217","19.4
1","57.9
25","46.6
17","35.7
73","32.2
77","51.4
8","41.1
241","65.3
282","+6.4
9"
7,Purdue,B10,27,22-5,"131.1
2","98.6
26",".9636
7","57.9
10","51.0
156","13.6
13","16.5
192","35.6
38","26.0
19","29.4
323","25.6
11","58.5
19","52.1
205","38.0
19","33.1
129","40.4
163","45.7
342","65.1
296","+7.1
5"
8,Iowa St.,B12,27,23-4,"124.9
17","95.3
10",".9573
8","57.8
12","48.7
59","15.4
84","21.8
8","36.1
28","28.6
83","35.3
178","26.9
18","56.8
41","49.5
89","39.6
4","31.8
62","38.1
216","42.7
286","67.1
190","+6.1
10"
9,Connecticut,BE,28,25-3,"124.2
20","95.6
13",".9530
9","56.3
25","45.7
8","16.2
137","18.2
94","34.5
59","28.5
79","30.8
288","41.0
305","57.1
38","45.9
14","36.6
46","30.1
16","39.8
174","35.6
61","65.2
292","+8.3
4"
