TIME,AWAY,HOME
06:00 PM,Miami FL,SMU ACC Network
06:00 PM,Texas,Arkansas
08:00 PM,Florida St.,Pittsburgh ACC Network
08:00 PM,Stanford,Notre Dame
07:30 PM,Purdue,Northwestern
09:30 PM,USC,Washington
07:00 PM,Villanova,DePaul Peacock
05:30 PM,Minnesota,Indiana
06:00 PM,Marquette,Providence Peacock
08:00 PM,Baylor,Houston
05:00 PM,Creighton,Butler
06:00 PM,Duquesne,Rhode Island
06:30 PM,Ohio St.,Penn St. Peacock
06:00 PM,California,Georgia Tech
06:00 PM,UAB,Charlotte
06:00 PM,Saint Joseph's,Davidson
09:00 PM,Colorado St.,New Mexico
07:00 PM,Maryland,Wisconsin
06:00 PM,Northern Kentucky,Oakland Horz-T
05:30 PM,Fordham,La Salle
06:00 PM,St. Bonaventure,George Washington
06:00 PM,Youngstown St.,Robert Morris Horz-T
07:00 PM,Rice,North Texas
06:00 PM,Milwaukee,Detroit Mercy Horz-T
07:00 PM,Loyola Chicago,Saint Louis
06:00 PM,Wagner,Central Connecticut NEC-T NEC Front Row
06:00 PM,Cleveland St.,Wright St. Horz-T
06:00 PM,Stonehill,Le Moyne NEC-T NEC Front Row
06:00 PM,Fairleigh Dickinson,Mercyhurst NEC-T NEC Front Row
06:00 PM,Chicago St.,LIU NEC-T NEC Front Row
