0,1,2,3,4
03:00 PM,26 Iowa at 27 Wisconsin FS1,Wisconsin -3.3 76-73 (62%),79,"Wisconsin, 84-71"
12:00 PM,36 Ohio St. at 17 Michigan St. CBS,Michigan St. -8.3 76-68 (79%),71,"Michigan St., 66-60"
03:00 PM,111 Florida Atlantic at 149 North Texas ESPNU,North Texas -0.6 68-67 (53%),63,"North Texas, 73-72"
11:00 AM,128 UAB at 109 Memphis ESPN2,Memphis -6.7 77-70 (74%),57,"UAB, 78-67"
12:00 PM,185 Green Bay at 216 Detroit Mercy ESPN+,Detroit Mercy -2.0 76-74 (58%),50,"Detroit Mercy, 74-70"
01:00 PM,202 Northern Kentucky at 166 Youngstown St. ESPN+,Youngstown St. -5.0 78-73 (68%),46,"Youngstown St., 64-58"
01:00 PM,163 Robert Morris at 127 Wright St. ESPNU,Wright St. -7.6 76-69 (77%),46,"Robert Morris, 81-68"
01:00 PM,261 Purdue Fort Wayne at 302 Cleveland St. ESPN+,Cleveland St. -2.0 83-81 (57%),46,"Purdue Fort Wayne, 92-86"
01:00 PM,203 Towson at 201 Drexel CBSSN,Drexel -2.8 62-59 (63%),43,"Drexel, 68-62"
11:00 AM,258 Boston University at 305 Lehigh CBSSN,Lehigh -0.9 72-71 (54%),41,"Lehigh, 70-67"
01:00 PM,223 Rice at 171 Tulane ESPN+,Tulane -6.4 76-69 (73%),40,"Tulane, 81-75"
01:00 PM,253 Fairfield at 206 Quinnipiac ESPN+,Quinnipiac -7.6 79-71 (76%),39,"Fairfield, 85-79"
11:00 AM,230 American at 330 Lafayette ESPN+,American -2.5 72-70 (60%),37,"American, 75-61"
01:00 PM,240 Saint Peter's at 187 Siena ESPN+,Siena -5.4 70-65 (71%),36,"Siena, 72-63"
02:00 PM,273 Milwaukee at 173 Oakland ESPN+,Oakland -11.2 88-76 (82%),35,"Oakland, 81-70"
12:00 PM,249 Iona at 151 Merrimack ESPN+,Merrimack -9.0 73-64 (81%),35,"Merrimack, 88-86"
12:00 PM,288 Sacred Heart at 186 Marist ESPN+,Marist -10.7 76-66 (84%),30,"Marist, 65-63"
11:00 AM,329 Holy Cross at 336 Bucknell ESPN+,Bucknell -3.1 71-68 (63%),30,"Holy Cross, 72-63"
11:00 AM,340 Niagara at 357 Rider ESPN+,Niagara -0.3 65-64 (51%),28,"Rider, 67-62"
03:00 PM,343 UTSA at 67 Tulsa ESPNEWS,Tulsa -30.0 95-65 (98%),26,"Tulsa, 100-74"
01:00 PM,348 Canisius at 284 Mount St. Mary's ESPN+,Mount St. Mary's -8.5 70-61 (82%),17,"Mount St. Mary's, 68-47"
