team_id,display_name
2000,Abilene Christian Wildcats
2005,Air Force Falcons
2006,Akron Zips
2010,Alabama A&M Bulldogs
333,Alabama Crimson Tide
2011,Alabama State Hornets
2016,Alcorn State Braves
44,American University Eagles
2026,App State Mountaineers
9,Arizona State Sun Devils
12,Arizona Wildcats
8,Arkansas Razorbacks
2032,Arkansas State Red Wolves
2029,Arkansas-Pine Bluff Golden Lions
349,Army Black Knights
2,Auburn Tigers
2046,Austin Peay Governors
252,BYU Cougars
2050,Ball State Cardinals
239,Baylor Bears
91,Bellarmine Knights
2057,Belmont Bruins
2065,Bethune-Cookman Wildcats
2066,Binghamton Bearcats
68,Boise State Broncos
103,Boston College Eagles
104,Boston University Terriers
189,Bowling Green Falcons
71,Bradley Braves
225,Brown Bears
2083,Bucknell Bison
2084,Buffalo Bulls
2086,Butler Bulldogs
13,Cal Poly Mustangs
25,California Golden Bears
2097,Campbell Fighting Camels
2099,Canisius Golden Griffins
2110,Central Arkansas Bears
2115,Central Connecticut Blue Devils
2117,Central Michigan Chippewas
232,Charleston Cougars
2127,Charleston Southern Buccaneers
236,Chattanooga Mocs
2130,Chicago State Cougars
2132,Cincinnati Bearcats
228,Clemson Tigers
325,Cleveland State Vikings
324,Coastal Carolina Chanticleers
2142,Colgate Raiders
38,Colorado Buffaloes
36,Colorado State Rams
171,Columbia Lions
2154,Coppin State Eagles
172,Cornell Big Red
156,Creighton Bluejays
159,Dartmouth Big Green
2166,Davidson Wildcats
2168,Dayton Flyers
305,DePaul Blue Demons
48,Delaware Blue Hens
2169,Delaware State Hornets
150,Duke Blue Devils
151,East Carolina Pirates
331,Eastern Washington Eagles
339,Evansville Purple Aces
161,Fairleigh Dickinson Knights
50,Florida A&M Rattlers
57,Florida Gators
526,Florida Gulf Coast Eagles
52,Florida State Seminoles
278,Fresno State Bulldogs
231,Furman Paladins
45,George Washington Revolutionaries
46,Georgetown Hoyas
61,Georgia Bulldogs
290,Georgia Southern Eagles
59,Georgia Tech Yellow Jackets
108,Harvard Crimson
62,Hawai'i Rainbow Warriors
107,Holy Cross Crusaders
248,Houston Cougars
47,Howard Bison
85,IU Indianapolis Jaguars
304,Idaho State Bengals
70,Idaho Vandals
356,Illinois Fighting Illini
84,Indiana Hoosiers
282,Indiana State Sycamores
314,Iona Gaels
66,Iowa State Cyclones
294,Jacksonville Dolphins
55,Jacksonville State Gamecocks
256,James Madison Dukes
140,Kansas City Roos
338,Kennesaw State Owls
96,Kentucky Wildcats
99,LSU Tigers
322,Lafayette Leopards
288,Lipscomb Bisons
2031,Little Rock Trojans
299,Long Beach State Beach
309,Louisiana Ragin' Cajuns
97,Louisville Cardinals
311,Maine Black Bears
269,Marquette Golden Eagles
276,Marshall Thundering Herd
120,Maryland Terrapins
113,Massachusetts Minutemen
235,Memphis Tigers
193,Miami (OH) RedHawks
127,Michigan State Spartans
130,Michigan Wolverines
270,Milwaukee Panthers
135,Minnesota Golden Gophers
344,Mississippi State Bulldogs
142,Missouri Tigers
149,Montana Grizzlies
147,Montana State Bobcats
116,Mount St. Mary's Mountaineers
93,Murray State Racers
152,NC State Wolfpack
158,Nebraska Cornhuskers
160,New Hampshire Wildcats
167,New Mexico Lobos
166,New Mexico State Aggies
315,Niagara Purple Eagles
153,North Carolina Tar Heels
155,North Dakota Fighting Hawks
249,North Texas Mean Green
