TEAM,CONF,G,ADJOE,ADJDE,TEMPO,EFG,EFGD,TOR,TORD,ORB,DRB,FTR,FTRD,WAB
Duke,ACC,34,128.1,90.7,65.8,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,13.6
Michigan,B10,34,127.6,90.9,71.2,58.1,44.7,16.7,15.5,35.4,27.7,37.7,26.3,14.0
Arizona,B12,34,126.8,91.3,70.0,55.1,45.0,15.1,16.7,38.1,26.9,42.9,27.7,13.6
Florida,SEC,33,126.0,92.2,70.4,53.5,46.3,16.5,15.4,43.2,24.8,39.1,34.0,8.5
Houston,B12,34,125.2,92.3,63.3,52.1,46.6,13.0,21.0,35.9,30.9,26.9,39.0,8.9
Illinois,B10,32,131.9,98.1,65.7,55.1,47.6,13.2,11.6,38.7,27.0,32.9,20.6,6.5
Iowa St.,B12,34,123.7,92.5,66.9,56.5,49.5,15.1,22.4,35.3,28.1,34.0,27.9,7.3
Purdue,B10,35,133.3,100.1,64.4,57.6,52.3,13.5,15.6,36.3,26.4,28.6,26.0,9.2
Connecticut,BE,34,123.0,94.9,64.6,55.3,45.7,16.8,18.0,35.7,28.7,30.0,40.2,8.8
Vanderbilt,SEC,34,127.4,99.3,69.0,55.3,48.8,13.3,17.9,31.2,31.6,38.2,41.0,7.3
Gonzaga,WCC,33,120.3,93.9,68.9,56.3,46.2,13.7,20.5,34.8,25.9,31.1,31.0,7.4
Michigan St.,B10,32,122.9,96.1,66.0,53.6,48.6,17.1,14.8,38.5,22.6,36.2,30.9,7.4
Texas Tech,B12,32,126.2,98.7,66.4,56.2,49.4,15.9,14.7,33.3,30.1,27.1,31.6,5.0
Virginia,ACC,34,122.3,95.8,65.6,54.6,45.3,16.0,15.6,37.9,29.2,33.0,33.0,7.7
St. John's,BE,34,119.7,94.0,69.6,51.0,47.4,14.7,19.4,35.9,30.2,41.9,31.8,7.2
Tennessee,SEC,33,121.4,95.4,65.2,51.6,47.7,17.1,16.3,45.1,27.9,38.7,36.2,4.1
Louisville,ACC,33,124.0,98.1,69.7,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,3.9
Alabama,SEC,32,129.5,102.7,73.0,55.4,49.2,13.0,12.6,31.8,32.8,37.2,32.7,6.5
Arkansas,SEC,34,127.9,101.6,71.0,56.5,51.4,12.3,15.7,32.2,31.2,36.4,31.3,7.5
Nebraska,B10,32,117.1,93.4,66.8,55.4,47.8,14.4,19.2,26.3,27.7,27.2,24.8,7.4
Wisconsin,B10,34,127.1,101.5,68.7,54.5,51.3,12.8,14.4,29.4,28.2,31.9,30.5,5.4
Kansas,B12,33,117.7,94.3,67.6,51.6,45.2,15.5,14.0,29.5,30.1,32.6,27.7,6.2
Ohio St.,B10,33,125.1,101.5,66.1,56.5,50.3,15.4,15.8,30.8,30.0,37.8,35.1,2.9
Saint Mary's,WCC,32,119.4,97.5,65.3,52.9,46.7,16.4,15.2,37.6,23.8,35.8,25.7,4.0
UCLA,B10,34,124.5,101.7,64.7,53.9,50.4,13.4,18.1,31.1,32.4,33.1,34.7,3.6
Iowa,B10,33,122.1,100.1,63.0,56.6,52.7,15.2,21.0,30.1,28.0,34.5,39.1,1.9
North Carolina,ACC,32,121.3,99.9,68.0,54.6,48.2,14.0,13.6,31.4,28.1,37.4,23.8,4.9
Utah St.,MWC,34,123.1,102.0,67.5,56.6,49.6,15.4,20.6,33.1,32.2,38.7,38.9,4.0
Santa Clara,WCC,34,125.0,103.7,69.2,54.6,51.8,15.6,20.1,36.7,32.3,25.8,38.3,2.1
Clemson,ACC,34,116.5,97.0,64.3,52.6,48.9,14.2,17.5,28.1,25.7,37.1,33.1,3.1
Kentucky,SEC,34,119.8,99.9,68.3,53.1,48.8,15.0,15.8,33.8,30.1,37.5,37.0,3.3
Cincinnati,B12,33,112.2,93.6,67.6,50.5,47.3,17.0,18.2,30.6,27.3,29.4,30.0,-2.0
BYU,B12,34,124.7,104.2,69.8,54.7,51.2,15.3,16.5,34.6,29.3,34.2,28.9,4.5
Indiana,B10,32,121.8,102.0,66.2,56.1,49.0,15.1,15.1,26.9,29.3,35.0,37.0,-0.42
Miami FL,ACC,33,121.0,101.4,67.9,55.6,51.7,16.2,18.4,37.0,26.3,37.5,29.0,3.8
Villanova,BE,32,119.5,100.4,64.9,53.7,51.3,15.1,18.7,32.4,31.7,31.3,28.9,3.9
Georgia,SEC,32,124.4,104.7,72.0,54.6,50.1,14.3,18.4,35.2,34.9,37.0,30.8,2.6
Oklahoma,SEC,34,125.2,105.8,66.1,55.1,51.2,14.4,15.3,33.6,33.0,35.9,34.0,-0.5
N.C. State,ACC,34,123.0,104.0,69.0,55.0,52.7,13.1,18.2,28.2,30.5,35.1,36.9,0.3
Texas A&M,SEC,32,119.8,101.4,71.0,54.2,50.8,14.6,18.3,32.3,32.5,37.4,35.6,1.6
SMU,ACC,33,122.9,104.9,68.6,55.7,51.4,15.9,17.1,35.4,31.6,30.6,32.0,-0.08
Texas,SEC,33,123.2,105.4,67.0,53.8,50.9,15.4,13.3,35.7,26.7,46.3,40.4,-0.26
San Diego St.,MWC,33,112.2,96.0,68.6,52.7,48.2,17.2,20.3,29.5,31.1,39.0,38.5,-0.05
Auburn,SEC,34,123.8,106.0,67.3,52.3,53.5,14.7,16.1,37.5,31.7,44.2,34.9,0.15
Saint Louis,A10,33,119.4,102.2,71.0,59.7,44.8,17.4,16.1,31.1,27.0,34.7,37.2,1.8
Missouri,SEC,32,119.9,103.0,66.4,55.3,51.4,18.0,16.6,35.5,31.4,42.5,35.1,1.1
Baylor,B12,32,123.4,106.5,67.8,53.8,52.5,16.5,16.1,37.5,32.2,34.8,30.2,-2.2
VCU,A10,34,119.2,103.0,68.7,54.1,48.9,15.2,17.2,32.3,29.9,43.7,33.1,1.6
TCU,B12,33,114.8,99.5,67.6,50.9,51.0,15.5,19.7,34.4,29.2,38.7,30.4,2.3
South Florida,Amer,33,116.7,101.3,71.4,50.9,48.4,15.2,18.8,38.2,31.8,41.1,38.8,-0.29
Florida St.,ACC,33,119.4,103.9,70.6,52.3,52.2,15.2,19.0,30.8,34.1,34.7,32.7,-1.8
Washington,B10,33,116.7,102.1,67.0,51.2,50.2,15.3,14.3,34.6,28.5,30.1,31.0,-3.0
New Mexico,MWC,33,116.4,102.0,69.8,53.6,49.6,15.3,19.1,30.3,27.6,36.2,34.9,-0.37
Virginia Tech,ACC,32,117.5,103.1,67.2,52.2,50.8,14.9,17.2,31.9,32.6,34.0,28.8,-0.9
Grand Canyon,MWC,32,111.1,97.4,68.0,51.7,47.4,17.6,17.3,31.3,25.3,39.5,39.0,-3.1
Boise St.,MWC,32,118.2,103.7,65.7,52.2,52.7,16.9,14.5,33.2,23.6,42.7,32.1,-2.1
Minnesota,B10,32,115.9,102.0,62.6,54.2,51.9,16.6,17.1,27.2,29.8,35.9,27.3,-4.0
UCF,B12,32,119.9,105.6,69.1,52.8,52.4,15.7,15.8,34.4,28.5,30.8,35.2,2.1
Stanford,ACC,32,117.0,103.6,67.0,51.7,51.2,15.5,18.3,32.3,30.1,35.7,40.3,-0.9
Seton Hall,BE,33,108.7,96.2,65.1,47.6,47.3,16.7,21.5,35.6,31.9,35.3,42.1,-0.31
Arizona St.,B12,33,115.1,102.2,69.2,51.1,52.4,17.1,18.5,29.8,34.9,39.5,34.3,-1.0
Northwestern,B10,34,116.4,103.6,65.1,51.7,51.0,13.0,17.5,28.1,34.7,33.9,34.8,-3.7
West Virginia,B12,32,108.4,96.5,62.4,51.1,48.3,17.5,18.1,31.0,29.0,35.5,29.2,-1.9
Mississippi,SEC,35,114.0,101.7,66.1,50.4,50.5,14.0,16.4,28.3,32.6,33.0,41.2,-4.5
USC,B10,32,113.0,101.2,70.7,50.4,49.7,17.4,16.3,32.4,32.2,44.2,33.4,-0.9
Wake Forest,ACC,33,117.8,105.6,68.3,52.6,52.0,15.4,17.8,29.7,32.9,35.1,36.2,-2.9
Tulsa,Amer,34,120.7,108.2,67.8,56.0,50.0,15.3,15.6,32.7,29.1,41.6,31.6,-1.0
Northern Iowa,MVC,35,109.7,98.5,62.2,54.2,47.2,14.6,18.1,22.0,26.3,25.7,29.3,-5.3
California,ACC,32,113.7,102.1,67.8,52.2,49.6,15.0,16.1,25.8,30.3,37.3,37.2,-0.7
LSU,SEC,32,118.8,106.7,66.6,52.8,50.9,15.6,13.9,33.1,31.7,40.9,37.8,-4.4
Akron,MAC,34,117.1,105.3,70.3,58.5,50.6,15.5,18.4,33.5,29.9,29.1,30.3,-0.23
Butler,BE,32,117.1,105.5,68.9,50.9,51.9,15.9,15.1,34.6,30.0,42.1,24.9,-4.2
McNeese St.,Slnd,33,113.1,102.0,66.1,51.0,48.9,14.3,24.6,35.0,35.0,38.3,42.1,0.7
Providence,BE,33,120.8,109.1,71.3,55.0,51.4,16.7,13.1,31.7,30.8,36.7,32.7,-5.1
Colorado,B12,32,117.9,106.7,68.6,53.2,52.9,14.5,15.4,29.0,29.8,35.8,36.3,-2.7
Marquette,BE,32,111.7,101.1,69.2,50.5,50.6,16.0,19.3,29.7,34.7,32.8,32.0,-7.5
Nevada,MWC,34,114.5,103.7,66.0,49.7,51.0,14.9,17.4,32.1,27.2,46.6,40.3,-1.9
Georgetown,BE,34,113.9,103.2,66.2,49.6,49.9,15.8,16.2,32.5,31.5,37.3,33.9,-4.9
Oklahoma St.,B12,34,118.4,107.3,72.3,52.2,52.9,15.8,15.8,31.0,30.2,39.7,31.8,-0.9
Belmont,MVC,32,120.0,108.9,69.0,61.0,49.9,18.1,17.4,28.8,29.2,32.5,30.7,-0.7
Dayton,A10,34,110.0,100.0,67.0,51.7,50.9,17.4,21.2,27.0,29.2,47.1,35.7,-1.5
Syracuse,ACC,32,115.1,104.6,67.4,52.6,50.3,16.0,17.4,29.2,33.6,35.1,32.6,-4.6
George Washington,A10,33,117.2,106.9,69.3,54.6,52.3,17.9,17.8,36.2,28.1,35.5,34.9,-7.8
Wichita St.,Amer,34,110.8,101.4,66.5,49.4,47.2,15.2,15.9,38.3,29.0,36.1,34.4,-3.8
Creighton,BE,32,114.8,105.2,67.3,53.1,51.1,16.5,14.0,27.5,29.7,27.5,24.6,-4.1
Colorado St.,MWC,33,118.3,109.0,63.0,58.0,53.1,18.6,15.3,30.0,29.0,39.6,34.2,-2.9
Miami OH,MAC,32,116.6,107.5,69.9,59.2,50.8,14.5,17.5,25.3,28.1,40.2,30.9,2.4
Utah Valley,WAC,33,112.3,103.5,68.6,55.1,49.0,20.2,21.2,34.8,31.4,38.2,39.3,-2.7
Stephen F. Austin,Slnd,34,112.4,103.7,65.8,51.7,47.7,14.3,17.6,33.8,29.5,30.1,31.1,-0.9
Oregon,B10,32,111.7,103.4,65.9,49.5,50.9,17.6,15.7,32.3,32.3,35.0,32.0,-6.3
Hofstra,CAA,34,113.1,104.8,64.7,51.5,45.9,16.1,15.0,34.9,30.5,32.5,35.4,-4.7
High Point,BSth,34,115.6,107.4,69.9,54.7,50.1,13.0,21.9,32.1,31.7,42.9,36.4,-1.5
Yale,Ivy,31,118.2,110.0,64.7,55.6,51.7,14.0,16.3,34.2,29.7,35.1,26.8,-1.5
Xavier,BE,33,117.2,109.2,70.3,51.8,54.1,13.9,15.5,26.5,29.5,28.1,32.6,-5.0
Wyoming,MWC,33,114.5,106.8,66.3,51.8,52.0,16.3,16.8,34.1,28.0,35.4,47.9,-5.3
Cal Baptist,WAC,33,107.4,100.2,65.9,48.6,46.4,18.1,17.1,37.8,27.2,36.1,37.1,-2.4
Notre Dame,ACC,31,115.0,107.3,66.0,52.3,51.8,17.0,14.0,31.2,26.7,34.1,36.2,-5.7
Mississippi St.,SEC,32,112.8,105.5,69.5,51.5,50.9,16.1,12.8,29.8,30.7,30.7,32.3,-5.6
Saint Joseph's,A10,33,108.2,101.3,67.9,49.3,47.6,16.9,15.2,31.4,30.9,30.4,26.3,-4.1
South Carolina,SEC,32,111.7,104.5,66.3,50.3,51.6,14.5,14.6,27.2,32.1,36.7,34.0,-6.2
DePaul,BE,32,106.7,99.9,66.4,49.8,49.3,17.8,18.6,30.0,31.1,35.3,37.8,-5.2
Kansas St.,B12,32,112.7,105.6,72.7,53.3,52.5,17.4,17.1,29.2,33.9,26.9,35.2,-6.7
Pittsburgh,ACC,33,112.6,105.5,63.6,51.0,53.4,17.3,16.2,33.9,28.1,30.4,30.9,-7.3
Seattle,WCC,34,102.0,95.6,67.7,49.3,48.1,17.0,21.4,24.3,31.8,34.7,32.3,-5.4
UNLV,MWC,34,115.6,108.5,69.9,53.6,52.3,17.3,17.3,30.7,31.4,41.2,45.1,-6.0
Sam Houston St.,CUSA,33,113.9,107.0,70.0,52.4,51.0,16.7,16.4,36.0,30.0,34.7,37.1,-5.3
Davidson,A10,34,110.2,103.5,63.7,52.6,50.6,15.8,17.5,28.1,30.0,31.0,37.1,-5.9
Pacific,WCC,33,110.4,104.0,64.4,52.2,50.0,20.1,15.1,35.3,25.0,30.5,36.3,-6.8
Maryland,B10,33,111.7,105.8,66.3,48.1,54.4,18.6,14.9,33.8,29.1,36.4,35.8,-5.4
Illinois St.,MVC,32,109.2,103.4,66.8,53.6,50.0,16.8,16.4,28.6,25.3,31.8,33.1,-5.8
Illinois Chicago,MVC,34,109.5,103.8,66.3,49.7,49.9,17.6,19.6,36.5,32.1,36.5,34.3,-8.6
St. Thomas,Sum,34,112.9,107.2,68.4,58.9,50.7,14.3,17.0,22.6,26.6,33.8,30.7,-5.0
UC Irvine,BW,35,103.9,98.7,68.2,49.5,45.9,17.8,18.8,31.0,31.2,35.9,26.7,-5.9
Utah,B12,32,114.8,109.3,66.3,52.0,53.9,16.7,13.3,29.3,31.6,31.7,29.9,-8.9
North Dakota St.,Sum,34,111.3,106.0,66.3,53.4,51.5,15.6,18.7,33.6,25.7,30.7,29.1,-3.4
Liberty,CUSA,33,118.1,112.6,63.9,59.6,52.7,13.6,17.1,19.4,32.8,31.5,26.7,-2.2
Rutgers,B10,33,110.9,105.8,66.7,47.5,53.0,15.1,17.1,29.8,33.1,36.1,31.4,-5.4
Hawaii,BW,32,106.7,101.8,69.6,52.0,46.4,18.9,16.9,31.4,25.0,42.4,36.1,-3.8
UT Rio Grande Valley,Slnd,33,111.3,106.4,66.4,54.8,47.8,18.5,16.3,28.2,32.1,28.9,38.9,-8.1
George Mason,A10,33,110.5,106.2,63.6,52.7,49.5,15.8,15.4,31.3,28.3,41.1,28.9,-3.0
Duquesne,A10,33,110.7,106.6,68.8,52.3,52.5,17.6,18.3,30.4,29.6,38.3,39.9,-7.6
UC San Diego,BW,34,106.1,102.2,67.2,52.6,48.4,16.5,16.8,26.1,27.0,31.2,29.3,-5.9
UNC Wilmington,CAA,33,110.2,106.2,64.9,50.6,47.1,14.9,14.9,35.6,27.3,40.8,31.8,-2.8
Florida Atlantic,Amer,33,109.5,105.5,69.8,52.2,49.5,17.6,15.5,31.6,28.3,33.3,36.2,-8.3
San Francisco,WCC,33,113.2,109.2,65.9,51.2,50.8,15.8,14.1,31.3,29.0,40.1,29.6,-7.0
Washington St.,WCC,32,114.3,110.4,67.9,54.7,52.6,18.4,14.6,29.5,28.2,30.2,33.0,-11.3
Montana St.,BSky,32,110.9,107.3,65.9,53.6,51.7,14.7,15.7,27.0,28.2,30.2,29.6,-8.2
Southern Illinois,MVC,32,102.4,99.3,69.0,49.2,49.0,17.0,18.5,30.9,27.3,31.3,31.4,-9.6
UC Santa Barbara,BW,32,113.5,110.0,64.3,54.7,52.6,18.7,16.8,31.0,25.5,36.8,42.4,-9.2
Fresno St.,MWC,32,107.0,103.7,68.3,50.6,51.5,18.1,18.2,27.9,30.6,33.8,28.6,-10.3
Toledo,MAC,34,114.5,111.0,67.9,54.5,54.3,14.7,17.9,29.5,33.7,30.5,26.6,-9.1
Wright St.,Horz,34,112.2,108.9,67.0,54.4,52.1,16.3,16.5,33.2,29.2,38.0,33.5,-6.6
Memphis,Amer,32,107.9,104.7,69.9,48.7,48.7,18.9,18.5,35.3,35.6,34.7,42.4,-9.7
Bradley,MVC,33,110.7,107.7,67.5,51.0,52.6,13.8,19.3,27.3,28.2,36.1,37.8,-6.0
Murray St.,MVC,32,115.0,112.1,71.8,53.8,52.3,16.2,16.0,33.0,31.3,39.1,32.9,-5.5
Idaho,BSky,35,108.7,106.1,67.4,51.9,50.3,15.0,15.2,28.9,24.2,34.8,39.2,-8.9
UAB,Amer,32,108.5,105.9,69.3,48.4,50.0,12.5,16.1,32.5,27.7,36.4,28.7,-6.2
Northern Colorado,BSky,32,112.2,109.7,68.4,55.7,50.1,15.4,12.4,27.2,24.2,27.5,38.8,-7.1
Boston College,ACC,31,103.6,101.4,65.9,47.0,48.9,15.4,14.9,28.3,28.6,32.4,34.6,-10.1
North Texas,Amer,33,103.1,101.1,65.0,46.0,48.4,16.7,21.3,33.5,32.4,39.6,45.1,-7.4
Penn St.,B10,32,113.7,111.6,67.5,53.0,58.4,15.6,17.7,25.9,31.1,33.8,27.5,-7.2
Troy,SB,33,110.6,108.9,65.1,51.9,50.1,17.0,16.9,34.8,31.6,36.3,32.1,-6.1
Temple,Amer,32,111.7,110.1,64.9,50.2,50.7,13.7,15.5,29.8,30.3,40.6,35.5,-10.3
Central Arkansas,ASun,34,109.5,108.0,67.9,54.0,54.9,15.4,19.0,28.8,27.4,31.2,30.1,-6.6
Kennesaw St.,CUSA,34,110.8,109.3,71.3,50.7,48.5,16.7,16.1,35.5,31.3,45.1,47.5,-7.9
Arkansas St.,SB,32,109.8,108.3,72.1,51.7,50.3,19.8,14.9,38.2,27.0,39.1,37.0,-7.3
Loyola Marymount,WCC,32,106.4,105.3,67.2,51.8,48.9,17.5,16.6,26.7,32.0,31.1,32.5,-10.2
Penn,Ivy,29,106.4,105.4,69.0,50.3,51.7,15.4,17.8,30.3,30.5,35.2,27.5,-6.1
Robert Morris,Horz,33,109.9,108.8,64.5,54.9,50.0,18.6,15.9,37.5,28.8,28.0,40.1,-6.7
Eastern Washington,BSky,33,113.1,112.0,67.8,53.7,54.9,17.7,16.2,31.3,30.8,36.1,37.3,-12.1
Navy,Pat,33,106.4,105.4,65.1,53.2,48.0,16.8,18.3,31.6,26.9,39.6,25.6,-4.3
Bowling Green,MAC,32,105.9,105.0,68.2,51.8,51.0,16.5,18.4,28.7,26.9,37.0,37.2,-9.7
Rhode Island,A10,32,104.0,103.3,65.8,50.1,50.4,19.2,21.1,31.0,31.8,38.4,42.6,-9.5
Middle Tennessee,CUSA,32,109.7,108.9,65.5,51.6,51.0,17.1,15.0,30.7,28.5,32.7,35.7,-8.8
St. Bonaventure,A10,34,113.0,112.3,67.1,52.4,53.3,16.8,17.1,34.5,29.8,30.0,33.9,-10.1
Kent St.,MAC,33,110.6,110.0,70.6,51.9,52.1,18.1,16.4,35.8,29.6,44.3,39.8,-3.9
Cornell,Ivy,28,119.6,119.1,71.4,58.5,55.9,16.0,15.1,30.2,30.6,30.2,37.2,-8.4
Oregon St.,WCC,33,109.4,108.9,65.2,50.5,50.3,17.7,15.3,26.8,32.1,43.1,35.1,-7.5
Austin Peay,ASun,31,108.6,108.1,69.2,53.0,52.2,15.4,17.9,29.7,28.9,37.6,32.8,-5.3
William & Mary,CAA,32,110.3,109.9,72.6,54.3,51.9,16.5,19.0,26.0,31.5,44.0,35.5,-7.1
Portland St.,BSky,31,102.9,102.6,67.8,50.6,48.8,16.9,18.0,30.0,26.4,37.1,42.8,-6.3
Valparaiso,MVC,33,107.5,107.2,65.1,47.6,50.5,15.7,16.9,32.5,30.1,39.1,35.1,-8.3
Georgia Tech,ACC,31,106.8,106.5,70.9,50.0,49.9,18.6,15.6,29.9,30.7,33.3,34.2,-9.7
UC Davis,BW,33,106.8,106.7,68.9,51.8,51.7,17.9,19.8,25.2,30.5,40.5,39.1,-8.5
Western Kentucky,CUSA,32,108.1,108.0,69.9,47.5,51.2,14.5,17.2,31.8,29.5,41.2,46.8,-8.5
Montana,BSky,34,107.1,107.0,69.5,55.8,50.5,19.6,14.3,20.7,29.6,36.8,32.6,-10.1
Harvard,Ivy,29,105.2,105.1,63.1,53.2,50.4,17.4,17.1,26.8,28.2,25.7,26.6,-7.6
Richmond,A10,32,110.3,110.4,67.6,52.7,52.0,14.3,17.7,25.0,31.0,36.9,35.1,-11.0
Cal St. Northridge,BW,34,108.8,108.9,73.4,51.3,51.6,17.5,16.4,31.9,26.6,34.2,34.3,-8.3
Monmouth,CAA,34,106.3,106.7,66.9,49.6,50.1,16.6,19.9,31.2,32.8,32.7,32.2,-10.0
Merrimack,MAAC,34,106.0,106.4,63.5,49.1,46.7,14.8,20.4,24.8,39.9,38.2,37.1,-6.4
Charlotte,Amer,34,112.8,113.4,63.3,53.4,50.9,18.1,13.6,33.9,32.5,36.4,36.2,-10.2
FIU,CUSA,32,107.7,108.4,71.6,50.6,52.9,17.7,20.1,33.9,34.8,38.6,35.9,-11.4
Winthrop,BSth,34,110.3,111.0,69.9,49.7,51.4,14.7,16.7,34.1,27.7,44.0,39.0,-5.7
Massachusetts,MAC,33,109.8,110.5,70.2,53.1,52.9,17.8,16.8,33.3,26.1,37.0,44.6,-11.5
Towson,CAA,34,104.1,104.8,63.4,46.5,48.5,15.9,15.1,36.0,29.1,30.4,29.3,-9.0
Fordham,A10,32,103.1,104.2,64.2,48.6,49.9,17.2,17.2,34.1,26.8,26.4,30.3,-9.5
Oakland,Horz,32,113.7,114.9,70.0,52.7,54.7,14.7,15.1,31.3,34.4,38.1,24.6,-8.4
Texas A&M Corpus Chris,Slnd,33,104.0,105.2,65.9,49.5,50.1,19.4,19.0,31.7,28.8,41.1,46.3,-9.1
Northern Kentucky,Horz,34,108.8,110.1,70.0,53.2,54.2,16.3,18.6,32.2,31.6,35.9,37.2,-9.6
Green Bay,Horz,33,113.0,114.3,62.9,54.9,53.6,16.0,13.2,25.1,29.6,41.6,37.4,-9.7
UT Arlington,WAC,32,101.3,102.5,64.8,47.2,47.4,20.7,18.0,34.9,30.1,42.5,40.9,-8.1
Utah Tech,WAC,34,111.1,112.6,66.4,53.3,50.9,17.6,16.9,28.1,34.5,30.6,33.0,-8.2
South Alabama,SB,33,107.4,108.9,64.6,52.6,50.1,13.0,18.1,25.0,31.4,38.5,25.4,-7.5
Appalachian St.,SB,32,105.3,106.9,63.0,49.9,47.5,15.3,14.0,32.0,29.0,39.1,31.2,-9.2
Louisiana Tech,CUSA,34,103.3,104.9,63.9,47.4,48.7,18.3,17.8,36.4,31.6,33.1,36.3,-9.3
Campbell,CAA,34,110.3,112.2,69.8,50.1,53.9,17.6,17.0,33.5,32.0,43.5,37.0,-11.0
Siena,MAAC,34,107.0,108.9,64.6,50.6,48.6,16.0,17.1,31.9,29.0,34.2,27.2,-7.8
Detroit Mercy,Horz,32,108.7,110.5,68.8,49.5,52.2,16.0,14.4,33.3,30.8,32.6,37.6,-9.8
Portland,WCC,34,106.2,108.1,68.5,51.2,52.7,19.7,17.0,28.1,32.5,34.4,32.6,-10.5
New Mexico St.,CUSA,32,108.1,110.0,66.6,48.5,48.7,15.0,14.7,32.5,30.3,34.9,44.2,-11.4
Charleston,CAA,32,106.7,108.6,67.7,50.5,49.2,15.7,14.7,29.9,32.3,41.2,26.1,-6.3
Youngstown St.,Horz,32,106.2,108.2,67.2,53.7,52.3,18.8,17.8,30.4,30.7,31.4,36.0,-12.6
Furman,SC,34,106.8,109.0,65.8,54.8,50.1,17.8,13.7,31.0,27.5,32.1,28.9,-8.8
Missouri St.,CUSA,34,109.3,111.5,65.2,51.1,52.0,16.7,16.9,32.0,32.1,43.8,40.2,-12.9
East Tennessee St.,SC,34,107.8,110.0,66.0,55.3,51.0,15.2,18.5,28.3,27.9,35.0,36.4,-7.5
Cal St. Fullerton,BW,34,107.5,109.7,72.8,51.4,54.3,15.2,19.5,24.6,28.3,37.8,35.3,-9.5
UMBC,AE,33,107.9,110.2,66.0,54.1,49.4,14.0,15.1,24.9,25.8,34.1,25.7,-5.1
Howard,MEAC,34,104.4,106.7,69.1,50.8,47.8,19.5,21.0,36.4,31.6,44.1,38.5,-6.9
Queens,ASun,34,114.6,117.0,69.5,56.6,54.0,14.8,15.0,30.4,33.0,36.3,38.7,-7.0
New Orleans,Slnd,33,108.6,111.0,69.7,49.6,49.0,20.5,14.9,35.6,34.5,46.4,39.5,-10.6
Jacksonville St.,CUSA,32,105.3,107.8,65.1,49.7,49.6,17.0,16.2,29.8,28.0,43.1,38.7,-12.8
Tulane,Amer,33,107.4,110.0,66.8,49.4,50.7,15.4,17.1,22.8,35.8,43.5,38.1,-9.1
Drexel,CAA,33,102.5,105.1,64.2,50.7,47.1,19.0,16.4,31.2,31.0,31.6,35.4,-11.8
Weber St.,BSky,32,111.0,113.8,68.5,51.7,54.5,15.7,16.3,31.8,27.7,39.2,36.4,-10.7
Indiana St.,MVC,32,105.8,108.7,68.2,52.8,50.2,19.5,14.9,26.2,31.8,27.4,28.8,-14.7
Columbia,Ivy,28,107.7,110.7,66.8,53.5,51.2,19.3,15.0,36.1,27.2,28.6,33.5,-7.8
James Madison,SB,33,109.0,112.2,66.0,53.1,49.0,17.3,12.8,30.6,29.5,35.9,40.8,-10.4
Marist,MAAC,31,99.4,102.4,66.2,49.3,45.6,16.9,19.5,29.1,28.3,25.7,37.6,-9.3
Mercer,SC,32,110.6,113.9,68.9,53.1,52.5,15.0,17.0,32.6,33.2,39.2,29.7,-8.5
Rice,Amer,31,108.9,112.4,65.6,48.5,51.0,17.9,15.7,35.3,34.6,33.9,40.4,-12.3
San Jose St.,MWC,33,112.7,116.4,65.0,49.7,57.1,15.1,17.4,29.3,36.5,33.4,35.3,-13.9
Marshall,SB,32,111.9,115.6,69.4,54.8,50.3,16.6,16.3,31.9,33.8,29.2,41.1,-8.5
Drake,MVC,34,109.4,113.2,67.1,51.4,52.6,15.0,14.6,26.6,29.9,33.5,32.0,-13.7
San Diego,WCC,33,108.4,112.2,68.1,51.2,54.7,17.5,18.9,28.1,34.5,25.8,38.8,-13.4
La Salle,A10,32,105.9,109.6,65.7,45.4,55.0,18.2,17.1,33.7,32.4,37.5,31.5,-14.9
Cal Poly,BW,33,109.3,113.3,74.1,51.5,53.8,19.9,16.2,30.0,29.6,34.9,34.1,-12.5
Tennessee St.,OVC,32,107.7,111.7,70.1,50.1,51.2,16.5,20.0,34.9,29.9,33.5,41.6,-5.7
Southern Miss,SB,35,104.6,108.7,69.1,49.0,51.4,18.4,17.8,32.5,28.8,43.2,43.6,-10.9
Buffalo,MAC,32,111.1,115.6,66.5,55.4,55.1,16.2,17.9,27.1,31.1,39.6,31.4,-10.5
Quinnipiac,MAAC,32,103.6,107.9,70.1,48.2,48.9,15.9,17.4,34.1,32.0,33.8,30.6,-8.7
Western Carolina,SC,31,109.2,113.9,67.9,50.4,54.9,16.8,14.5,35.4,26.3,31.3,37.8,-10.7
South Dakota St.,Sum,32,107.4,111.9,67.0,52.0,51.8,16.1,14.5,30.3,25.1,29.7,34.5,-12.8
Tarleton St.,WAC,32,103.2,107.7,69.5,48.3,53.6,20.0,23.4,31.5,35.1,41.9,47.7,-11.9
Bethune Cookman,SWAC,32,104.0,108.5,69.0,51.0,49.7,19.2,15.8,30.1,31.7,40.9,38.6,-8.5
Ohio,MAC,32,108.2,113.1,68.9,50.9,53.0,15.5,16.1,28.4,32.8,36.9,38.2,-11.6
Stony Brook,CAA,32,105.1,110.1,66.2,50.2,50.7,16.8,17.1,28.0,32.4,28.4,35.4,-10.7
