SEASON,TEAM,ADJOE,ADJDE,TEMPO,WAB
2022-23,Connecticut,121.5,91.2,0.9643,30.8
2022-23,Alabama,116.1,89.0,0.9548,36.6
2022-23,Houston,117.3,90.3,0.9532,28.9
2022-23,UCLA,114.9,88.5,0.9528,27.4
2022-23,Tennessee,111.2,87.5,0.9401,30.7
2022-23,Texas,116.1,91.8,0.9371,30.5
2022-23,Purdue,117.9,93.7,0.9333,37.2
2022-23,Arizona,119.4,95.4,0.9292,35.8
2022-23,Gonzaga,123.2,99.0,0.9251,34.1
2022-23,Saint Mary's,112.1,90.5,0.9213,32.0
2022-23,San Diego St.,110.8,89.5,0.9205,33.2
2022-23,Marquette,118.7,96.0,0.9197,27.0
2022-23,Creighton,115.0,93.2,0.9177,28.4
2022-23,Kansas,113.8,92.3,0.9177,29.8
2022-23,Duke,113.3,92.9,0.9072,29.9
2022-23,Memphis,115.4,95.0,0.903,35.4
2022-23,Baylor,121.7,100.6,0.8992,36.8
2022-23,West Virginia,117.2,97.5,0.8935,39.4
2022-23,Arkansas,111.9,93.3,0.8894,39.3
2022-23,Xavier,118.0,98.5,0.8891,31.4
2022-23,Auburn,113.1,94.9,0.8829,36.3
2022-23,Florida Atlantic,114.0,95.8,0.8815,29.6
2022-23,Texas A&M,113.8,95.7,0.8808,45.1
2022-23,Kansas St.,112.6,94.7,0.8803,36.1
2022-23,Michigan St.,114.4,96.4,0.8771,27.2
2022-23,Kentucky,115.7,97.7,0.8738,31.9
2022-23,Miami FL,119.1,100.9,0.8715,30.7
2022-23,TCU,111.7,94.6,0.8705,34.1
2022-23,Iowa St.,107.0,90.9,0.8679,27.9
2022-23,Utah St.,115.4,98.0,0.867,34.9
2022-23,Maryland,112.6,95.8,0.8658,34.3
2022-23,Northwestern,109.7,93.4,0.8642,29.7
2022-23,North Texas,110.0,93.8,0.8623,31.0
2022-23,Virginia,110.0,94.0,0.8591,34.7
2022-23,Indiana,113.1,96.9,0.8557,29.5
2022-23,Penn St.,117.5,100.7,0.8548,21.3
2022-23,Oregon,113.0,97.1,0.8511,32.0
2022-23,UAB,112.4,97.0,0.8454,35.7
2022-23,Rutgers,105.4,91.0,0.8438,28.2
2022-23,North Carolina,111.5,96.4,0.8431,37.0
2022-23,Iowa,119.9,103.9,0.8385,32.3
2022-23,Oklahoma St.,106.3,92.1,0.838,32.5
2022-23,Boise St.,110.1,95.6,0.8361,30.3
2022-23,Michigan,111.7,97.1,0.8323,30.8
2022-23,Ohio St.,115.8,100.7,0.8322,26.6
2022-23,USC,111.8,97.4,0.8298,33.2
2022-23,Cincinnati,111.9,97.5,0.8295,25.7
2022-23,N.C. State,113.6,99.2,0.8272,25.3
2022-23,Liberty,111.4,97.3,0.8246,26.2
2022-23,Illinois,108.9,95.4,0.8216,34.3
2022-23,Arizona St.,108.4,95.0,0.8207,31.2
2022-23,Oklahoma,109.6,96.2,0.8173,30.1
2022-23,Drake,108.8,95.6,0.8155,28.4
2022-23,Texas Tech,110.7,97.4,0.8135,34.8
2022-23,Providence,114.9,101.2,0.8128,36.3
2022-23,Washington St.,111.3,98.0,0.8115,28.2
2022-23,Clemson,110.9,97.7,0.8096,30.5
2022-23,Seton Hall,106.2,93.7,0.8082,40.1
2022-23,Wisconsin,106.5,94.0,0.8075,25.0
2022-23,Utah Valley,107.1,94.6,0.8065,35.6
2022-23,Villanova,112.3,99.3,0.8047,30.0
2022-23,VCU,105.5,93.4,0.8026,41.6
2022-23,UCF,107.7,95.6,0.7988,28.9
2022-23,Mississippi St.,103.4,91.8,0.7986,33.8
2022-23,Missouri,117.5,104.5,0.7939,29.1
2022-23,Utah,106.7,95.0,0.7908,29.2
2022-23,Iona,110.3,98.3,0.7908,29.0
