Home,Away,Spread,Model Spread,Spread Edge,Total,Model Total,Total Edge,HOME_SCORE,AWAY_SCORE,SPREAD_RESULT,TOTAL_RESULT
Georgia,Alabama,1.5,6.2,4.7,179.0,187.0,8.0,75.0,63.0,W,L
UCLA,Nebraska,-1.0,-0.6,0.4,144.5,170.1,25.599999999999994,72.0,52.0,W,L
Texas A&M,Kentucky,-1.5,-0.6,0.9,162.5,174.9,12.400000000000006,96.0,85.0,W,W
Boise St.,San Diego St.,-1.0,-2.3,-1.2999999999999998,144.0,160.5,16.5,86.0,77.0,W,W
Cincinnati,BYU,-1.5,8.0,9.5,151.5,170.9,19.40000000000001,90.0,68.0,W,W
Oklahoma,Missouri,-1.0,-1.5,-0.5,154.5,164.2,9.699999999999989,80.0,64.0,W,L
North Carolina,Clemson,-2.5,-5.4,-2.9000000000000004,142.0,166.1,24.099999999999994,67.0,63.0,W,L
Arizona St.,Kansas,5.5,4.8,-0.7000000000000002,150.5,168.9,18.40000000000001,70.0,60.0,W,L
Kansas St.,West Virginia,2.5,-0.3,-2.8,142.0,153.7,11.699999999999989,65.0,63.0,W,L
Wyoming,Nevada,-0.5,2.3,2.8,142.0,151.0,9.0,83.0,73.0,W,W
Mississippi,Vanderbilt,6.5,9.9,3.4000000000000004,155.0,165.6,10.599999999999994,,,,
Utah,Colorado,1.5,1.8,0.3,147.5,153.9,6.400000000000006,78.0,92.0,L,W
UNLV,Utah St.,7.5,10.0,2.5,158.0,162.3,4.300000000000011,92.0,65.0,W,L
Texas Tech,TCU,-8.0,-14.1,-6.1,147.5,169.6,22.099999999999994,65.0,73.0,L,L
Richmond,Dayton,5.0,3.5,-1.5,144.5,149.1,4.599999999999994,60.0,65.0,P,L
Miami OH,Toledo,-8.0,-5.8,2.2,162.5,155.7,-6.800000000000011,,,,
Alabama St.,Southern,0.0,3.5,3.5,154.0,134.1,-19.90000000000001,64.0,71.0,L,L
Central Michigan,Akron,11.5,12.9,1.4000000000000004,158.0,149.7,-8.300000000000011,64.0,77.0,L,L
Virginia Tech,Boston College,-11.5,-11.9,-0.4000000000000003,142.5,149.2,6.699999999999989,72.0,63.0,L,L
Jackson St.,Arkansas Pine Bluff,1.0,2.2,1.2000000000000002,153.0,127.9,-25.099999999999994,,,,
Massachusetts,Ohio,-1.5,-3.2,-1.7000000000000002,156.0,143.4,-12.599999999999994,94.0,82.0,W,W
NJIT,UMBC,7.5,6.0,-1.5,139.0,131.4,-7.599999999999994,52.0,91.0,L,W
Buffalo,Eastern Michigan,-5.5,-7.3,-1.7999999999999998,144.5,135.3,-9.199999999999989,72.0,67.0,L,L
Hofstra,Drexel,-8.5,-9.8,-1.3000000000000007,133.0,139.3,6.300000000000011,62.0,51.0,W,L
Fresno St.,San Jose St.,-7.5,-0.4,7.1,149.5,140.1,-9.400000000000006,,,,
Maine,UMass Lowell,2.5,6.8,4.3,134.5,120.3,-14.200000000000005,56.0,67.0,L,L
Alabama A&M,Grambling St.,-2.0,-4.9,-2.9000000000000004,140.0,124.6,-15.400000000000006,,,,
Northern Illinois,Kent St.,10.0,13.8,3.8000000000000007,149.0,133.9,-15.099999999999994,76.0,102.0,L,W
Western Michigan,Ball St.,-2.0,-6.7,-4.7,138.0,126.2,-11.799999999999995,71.0,74.0,L,W
Air Force,Grand Canyon,19.5,15.1,-4.4,141.5,139.0,-2.5,60.0,86.0,L,W
Vermont,Albany,-9.5,-4.1,5.4,136.5,123.2,-13.299999999999995,69.0,56.0,W,L
New Hampshire,Bryant,1.5,0.1,-1.4,134.0,113.4,-20.599999999999994,88.0,83.0,W,W
Alcorn St.,Mississippi Valley St.,-9.5,-10.9,-1.4000000000000004,139.5,111.1,-28.40000000000001,67.0,64.0,L,L
