HOME,AWAY,SPREAD_RAW,TOTAL_RAW,SPREAD_PROJ,TOTAL_PROJ,HOME_WIN_PROB
La Salle,St. Bonaventure,5.929391021299461,144.40082900302116,10.3,133.0,0.136
Iowa,Maryland,-9.591292829117846,160.23502221877422,-5.3,148.9,0.721
N.C. State,Pittsburgh,-12.5527218347431,163.5394059667674,-8.2,152.2,0.815
Kentucky,LSU,-4.574192495357362,169.79167714285717,-0.3,158.4,0.511
Iowa St.,Arizona St.,-7.727848837674819,179.548466917768,-3.4,168.2,0.649
Richmond,Loyola Chicago,-6.028722983399073,141.04620472263866,-1.7,129.7,0.576
Louisville,SMU,-4.565260477299116,184.75397348703163,-0.2,173.4,0.511
Washington,USC,-6.43951342930628,170.12906831395347,-2.1,158.8,0.594
UCF,Cincinnati,-17.956596915298835,174.34416346198833,-13.6,163.0,0.921
UNLV,Wyoming,-5.6101318020768485,160.07924129316677,-1.3,148.7,0.558
Auburn,Mississippi St.,-13.548190606865555,168.3622390153846,-9.2,157.0,0.84
Butler,Providence,0.9994957364669672,171.25575698285715,5.3,159.9,0.277
Stephen F. Austin,McNeese St.,-7.285029601069745,158.94142803641876,-3.0,147.6,0.63
Nevada,Air Force,-11.770657179878066,140.51623847908746,-7.4,129.2,0.793
Liberty,Missouri St.,-11.10574282462048,144.5345168356589,-6.8,133.2,0.772
Indiana,Northwestern,-7.955897751934717,166.94454244140027,-3.6,155.6,0.658
Marquette,Xavier,4.119453276553056,166.81849065420562,8.4,155.5,0.18
West Virginia,BYU,10.546353731109575,166.55295185454543,14.9,155.2,0.064
Lehigh,Boston University,7.893198014961514,132.49969043076922,12.2,121.1,0.1
Florida St.,California,-7.698430358138016,170.81599604046244,-3.4,159.5,0.647
Memphis,Tulane,-0.14410559788677396,151.41360196778913,4.2,140.1,0.32
Texas,Mississippi,-14.577480700434172,165.52312152036197,-10.3,154.2,0.864
Florida A&M,Jackson St.,5.343942641020014,132.38753914285718,9.7,121.0,0.149
UC San Diego,Cal Poly,3.485807984351465,155.89809324840763,7.8,144.5,0.197
Colorado St.,Fresno St.,-15.676132141293285,152.82255167022902,-11.4,141.5,0.885
Minnesota,Rutgers,-3.834182104635297,154.41002329192543,0.5,143.1,0.478
DePaul,Georgetown,3.7626499305329344,158.069848,8.1,146.7,0.189
Sam Houston St.,New Mexico St.,-8.739967324501835,154.11936539589445,-4.4,142.8,0.689
Clemson,Wake Forest,0.5032387083115218,167.32162454037734,4.8,156.0,0.296
Florida Atlantic,Temple,-0.6560562181020277,152.8126402719168,3.7,141.5,0.341
TCU,Oklahoma St.,0.998012774239461,171.90788218207882,5.3,160.6,0.277
Oklahoma,South Carolina,-14.37257738265402,162.920979,-10.1,151.6,0.859
Boise St.,San Jose St.,-2.504864927285383,150.44978942352031,1.8,139.1,0.419
Montana,Idaho,-2.0081140060329608,152.85609747692308,2.3,141.5,0.397
UC Davis,UC Santa Barbara,2.109617082396113,149.23270191987905,6.4,137.9,0.239
