Home,Away,Spread,Model Spread,Spread Edge,Total,Model Total,Total Edge
Arizona St.,Baylor,4.5,8.5,4.0,152.0,163.2,11.199999999999989
Prairie View A&M,Alcorn St.,-6.5,4.3,10.8,144.5,123.4,-21.099999999999994
Stanford,Pittsburgh,-5.5,-3.6,1.9,137.5,148.7,11.199999999999989
Cincinnati,Utah,-11.0,8.8,19.8,137.5,155.1,17.599999999999994
SMU,Syracuse,-4.5,-7.8,-3.3,154.5,161.1,6.599999999999994
Oregon,Maryland,-4.0,3.8,7.8,138.5,145.8,7.300000000000011
UMBC,UMass Lowell,-8.5,1.0,9.5,147.0,130.0,-17.0
FIU,Missouri St.,1.5,3.0,1.5,153.0,140.4,-12.599999999999994
Wright St.,Detroit Mercy,-4.5,-1.5,3.0,151.5,142.3,-9.199999999999989
Hofstra,Monmouth,-4.0,-5.2,-1.2000000000000002,133.0,141.8,8.800000000000011
LIU,Mercyhurst,-5.5,-2.3,3.2,136.5,127.0,-9.5
Vermont,NJIT,-12.5,-4.0,8.5,135.0,123.5,-11.5
Virginia Tech,Wake Forest,-2.5,1.4,3.9,151.5,159.4,7.900000000000006
Stephen F. Austin,Texas A&M Corpus Chris,-7.0,-8.4,-1.4000000000000004,134.5,142.6,8.099999999999994
Northwestern,Penn St.,-6.0,4.1,10.1,143.5,147.3,3.8000000000000114
Jackson St.,Grambling St.,7.5,-3.7,-11.2,141.5,122.7,-18.799999999999997
Gonzaga,Santa Clara,-7.5,3.3,10.8,159.5,177.4,17.900000000000006
Jacksonville St.,New Mexico St.,1.0,5.7,4.7,140.0,133.6,-6.400000000000006
Merrimack,Siena,-3.5,2.7,6.2,124.5,131.8,7.300000000000011
Portland St.,Montana,-2.5,6.1,8.6,143.0,143.4,0.4000000000000057
McNeese St.,UT Rio Grande Valley,-7.5,-1.6,5.9,140.0,147.7,7.699999999999989
Eastern Washington,Idaho,1.5,-4.9,-6.4,151.5,142.4,-9.099999999999994
