DATE,HOME,AWAY,HOME_SCORE,AWAY_SCORE
2026-02-26,Purdue Boilermakers,Michigan State Spartans,74,76
2026-02-26,Hampton Pirates,Charleston Cougars,71,85
2026-02-26,St. Bonaventure Bonnies,Rhode Island Rams,94,76
2026-02-26,Binghamton Bearcats,New Hampshire Wildcats,65,63
2026-02-26,UMBC Retrievers,Bryant Bulldogs,70,58
2026-02-26,Grambling Tigers,Bethune-Cookman Wildcats,71,76
2026-02-26,UAlbany Great Danes,Maine Black Bears,59,70
2026-02-26,Florida Atlantic Owls,Temple Owls,77,73
2026-02-26,Charleston Southern Buccaneers,Winthrop Eagles,86,84
2026-02-26,Radford Highlanders,South Carolina Upstate Spartans,71,59
2026-02-26,Gardner-Webb Runnin' Bulldogs,UNC Asheville Bulldogs,71,77
2026-02-26,Presbyterian Blue Hose,High Point Panthers,73,79
2026-02-26,Central Connecticut Blue Devils,Mercyhurst Lakers,80,78
2026-02-26,Wagner Seahawks,New Haven Chargers,65,62
2026-02-26,Stonehill Skyhawks,Saint Francis Red Flash,103,77
2026-02-26,Long Island University Sharks,Chicago State Cougars,73,56
2026-02-26,Le Moyne Dolphins,Fairleigh Dickinson Knights,76,59
2026-02-26,Vermont Catamounts,UMass Lowell River Hawks,66,64
2026-02-26,Drexel Dragons,Campbell Fighting Camels,65,60
2026-02-26,Towson Tigers,Elon Phoenix,58,56
2026-02-26,UNC Wilmington Seahawks,North Carolina A&T Aggies,88,65
2026-02-26,Monmouth Hawks,Stony Brook Seawolves,82,69
2026-02-26,William & Mary Tribe,Northeastern Huskies,84,77
2026-02-26,Chattanooga Mocs,UNC Greensboro Spartans,80,85
2026-02-26,Jacksonville Dolphins,Stetson Hatters,89,85
2026-02-26,North Florida Ospreys,Florida Gulf Coast Eagles,76,70
2026-02-26,Jacksonville State Gamecocks,Delaware Blue Hens,80,70
2026-02-26,Kennesaw State Owls,Liberty Flames,74,65
2026-02-26,Louisiana Tech Bulldogs,Missouri State Bears,72,70
2026-02-26,Middle Tennessee Blue Raiders,UTEP Miners,77,67
2026-02-26,Western Kentucky Hilltoppers,New Mexico State Aggies,93,70
2026-02-26,Oral Roberts Golden Eagles,Denver Pioneers,102,80
2026-02-26,Kansas City Roos,South Dakota State Jackrabbits,59,73
2026-02-26,Samford Bulldogs,VMI Keydets,80,61
2026-02-26,Utah Valley Wolverines,Tarleton State Texans,79,72
2026-02-26,Texas Southern Tigers,Alcorn State Braves,92,87
2026-02-26,Southern Jaguars,Florida A&M Rattlers,71,82
2026-02-26,SIU Edwardsville Cougars,Western Illinois Leathernecks,67,47
2026-02-26,Southeast Missouri State Redhawks,Tennessee State Tigers,71,79
2026-02-26,Lindenwood Lions,Eastern Illinois Panthers,67,71
2026-02-26,Little Rock Trojans,Morehead State Eagles,70,76
2026-02-26,Memphis Tigers,Wichita State Shockers,82,88
2026-02-26,UC Santa Barbara Gauchos,UC Riverside Highlanders,70,59
2026-02-26,St. Thomas-Minnesota Tommies,North Dakota State Bison,84,62
2026-02-26,UC Davis Aggies,Hawai'i Rainbow Warriors,73,77
2026-02-26,Montana State Bobcats,Portland State Vikings,84,69
2026-02-26,Montana Grizzlies,Sacramento State Hornets,81,73
2026-02-26,Idaho Vandals,Northern Arizona Lumberjacks,78,58
2026-02-26,Eastern Washington Eagles,Northern Colorado Bears,82,72
2026-02-26,UT Martin Skyhawks,Tennessee Tech Golden Eagles,64,49
2026-02-26,Utah Tech Trailblazers,Abilene Christian Wildcats,85,81
2026-02-26,Sam Houston Bearkats,Florida International Panthers,100,67
2026-02-26,Prairie View A&M Panthers,Jackson State Tigers,85,76
2026-02-26,Cal Poly Mustangs,Long Beach State Beach,102,92
2026-02-26,Cal State Northridge Matadors,UC Irvine Anteaters,67,68
2026-02-26,UC San Diego Tritons,Cal State Bakersfield Roadrunners,84,72
2026-02-26,California Baptist Lancers,UT Arlington Mavericks,68,56
