Date,Home,Away,Market Spread,Model Spread,Spread Edge,Spread Bet,Spread Confidence,Spread W/L
2026-03-28,(3) Illinois,(9) Iowa,-7.0,-12.3,-5.3,(3) Illinois -7.0,,
2026-03-28,(1) Arizona,(2) Purdue,-5.5,+0.1,5.6,(2) Purdue +5.5,,
2026-03-26,(2) Purdue,(11) Texas,-7.5,-14.5,-7.0,(2) Purdue -7.5,B-,L
2026-03-22,(4) Alabama,(5) Texas Tech,+1.5,-4.5,-6.0,(4) Alabama +1.5,C,W
2026-03-22,(1) Florida,(9) Iowa,-10.5,-4.4,6.1,(9) Iowa +10.5,C,W
2026-03-20,(5) Texas Tech,(12) Akron,-7.5,-13.9,-6.4,(5) Texas Tech -7.5,C,W
2026-03-20,(4) Alabama,(13) Hofstra,-11.5,-21.5,-10.0,(4) Alabama -11.5,A-,W
2026-03-20,(8) Villanova,(9) Utah St.,+1.5,-6.4,-7.9,(8) Villanova +1.5,B-,L
2026-03-20,(5) St. John's,(12) Northern Iowa,-9.5,-16.8,-7.3,(5) St. John's -9.5,B-,W
2026-03-20,(7) Miami FL,(10) Missouri,-2.0,-9.5,-7.5,Miami FL -2.0,B-,W
2026-03-20,(2) Iowa St.,(15) Tennessee St.,-24.5,-16.2,8.3,(15) Tennessee St. +24.5,B+,L
2026-03-19,(4) Arkansas,(13) Hawaii,-15.5,-24.7,-9.2,(4) Arkansas -15.5,B+,W
2026-03-19,(6) Louisville,(11) South Florida,-4.5,-10.7,-6.2,(6) Louisville -3.5,C,W
2026-03-19,(4) Nebraska,(13) Troy,-13.0,-4.5,8.5,(13) Troy +13.0,B+,L
2026-03-18,New Mexico,Sam Houston St.,-12,-5.10,6.9,Sam (2) Houston St. +12.0,C,L
2026-03-18,Colorado St.,Saint Joseph's,-6.5,-14.80,-8.3,Colorado St. -6.5,B+,L
2026-03-18,Nevada,Murray St.,-8.5,-0.20,8.3,Murray St. +8.5,B+,L
2026-03-17,George Mason,Liberty,-3.5,2.50,6.0,Liberty +3.5,C,W
2026-03-17,(11) Texas,(11) N.C. State,1.00,-7.00,-8.0,(11) Texas +1.0,B+,W
2026-03-17,UC Irvine,UNLV,-1.50,8.30,9.8,UNLV +1.5,B+,W
2026-03-17,Tulsa,Stephen F. Austin,-7,-15.40,-8.4,Tulsa -7.0,B+,L
2026-03-17,Seattle,St. Thomas,-1.50,8.40,9.9,St. Thomas +1.5,B+,L
2026-03-14,South Florida,Charlotte,-15.00,2.50,17.5,Charlotte +15.0,A+,L
2026-03-14,Michigan,Wisconsin,-8.00,2.50,10.5,Wisconsin +8.0,A-,W
2026-03-14,Howard,North Carolina Central,-6.5,8.30,14.8,North Carolina Central +6.5,A+,L
2026-03-13,Michigan,Ohio St.,-12.50,-0.60,11.9,Ohio St. +12.5,A-,W
2026-03-13,UC Irvine,Cal St. Northridge,-4.50,9.70,14.2,Cal St. Northridge +4.5,A+,L
2026-03-13,Dayton,St. Bonaventure,-6.50,9.30,15.8,St. Bonaventure +6.5,A+,W
2026-03-13,UAB,Charlotte,-5.00,8.70,13.7,Charlotte +5.0,A+,W
2026-03-13,North Carolina Central,Delaware St.,-4.5,7.10,11.6,Delaware St. +4.5,A-,L
2026-03-13,Louisiana Tech,Missouri St.,-1.5,9.70,11.2,Missouri St. +1.5,A-,L
2026-03-13,Howard,South Carolina St.,-15,8.90,23.9,South Carolina St. +15.0,A+,L
2026-03-13,Cal Baptist,Utah Tech,-5.5,9.00,14.5,Utah Tech +5.5,A+,L
2026-03-12,San Diego St.,Colorado St.,-5.5,9.50,15.0,Colorado St. +5.5,A+,L
2026-03-12,Connecticut,Xavier,-16.00,-1.30,14.7,Xavier +16.0,A+,L
2026-03-12,Texas Tech,Iowa St.,5.5,-8.50,-14.0,Texas Tech +5.5,A+,L
2026-03-12,Houston,BYU,-10,1.90,11.9,BYU +10.0,A-,W
2026-03-12,New Mexico,San Jose St.,-15,4.50,19.5,San Jose St. +15.0,A+,L
2026-03-12,Akron,Buffalo,-13,-2.80,10.2,Buffalo +13.0,A-,W
2026-03-12,Seton Hall,Creighton,-3.5,9.80,13.3,Creighton +3.5,A+,L
2026-03-12,UT Arlington,Southern Utah,-5.5,12.30,17.8,Southern Utah +5.5,A+,L
2026-03-12,Arizona,UCF,-16.5,-1.00,15.5,UCF +16.5,A+,L
2026-03-12,St. John's,Providence,-11,6.90,17.9,Providence +11.0,A+,L
2026-03-12,Duke,Florida St.,-16.5,-5.00,11.5,Florida St. +16.5,A-,W
