DATE,HOME,AWAY,MODEL_SPREAD,ACTUAL_MARGIN,RESULT
2023-01-08 00:00:00+00:00,abilene christian,southern utah,1.89,-2,-1
2023-01-12 00:30:00+00:00,ut rio grande valley,abilene christian,4.87,17,1
2023-01-19 01:00:00+00:00,utah valley,abilene christian,4.59,30,1
2023-01-22 00:00:00+00:00,abilene christian,ut arlington,3.94,16,1
2023-01-27 01:00:00+00:00,abilene christian,grand canyon,1.24,-2,-1
2023-01-29 00:00:00+00:00,abilene christian,utah tech,1.83,5,1
2023-02-16 02:00:00+00:00,new mexico,abilene christian,4.54,-2,-1
2023-02-18 04:00:00+00:00,grand canyon,abilene christian,4.76,10,1
2023-02-26 00:00:00+00:00,abilene christian,utah valley,1.41,-4,-1
2023-11-07 02:00:00+00:00,oklahoma,abilene christian,2.48,-5,-1
2023-11-19 22:45:00+00:00,abilene christian,fordham,1.86,14,1
2023-11-21 01:50:00+00:00,missouri,abilene christian,2.35,18,1
2023-11-30 01:00:00+00:00,ut arlington,abilene christian,2.06,15,1
2023-12-07 01:00:00+00:00,abilene christian,northern arizona,4.06,-2,-1
2023-12-17 21:00:00+00:00,abilene christian,utep,1.61,6,1
2023-12-22 00:00:00+00:00,arkansas,abilene christian,4.52,10,1
2024-01-12 02:00:00+00:00,grand canyon,abilene christian,5.59,10,1
2024-01-20 21:00:00+00:00,abilene christian,ut arlington,3.06,11,1
2024-01-26 01:30:00+00:00,abilene christian,utah tech,3.32,22,1
2024-01-27 21:00:00+00:00,abilene christian,southern utah,3.83,-15,-1
2024-02-10 21:00:00+00:00,utah valley,abilene christian,3.35,29,1
2024-02-16 00:30:00+00:00,ut rio grande valley,abilene christian,3.56,-8,-1
2024-02-24 21:00:00+00:00,abilene christian,grand canyon,0.41,6,1
2024-03-01 01:30:00+00:00,southern utah,abilene christian,2.17,-9,-1
2024-03-03 02:00:00+00:00,utah tech,abilene christian,2.68,-7,-1
2024-03-09 21:00:00+00:00,abilene christian,utah valley,2.65,-7,-1
2024-11-10 00:00:00+00:00,abilene christian,middle tennessee,3.64,-23,-1
2024-11-16 20:30:00+00:00,abilene christian,texas,4.59,12,1
