canonical,bart,odds,schedule,espn
Abilene Christian,Abilene Christian,Abilene Christian,Abilene Christian,
Air Force,Air Force,Air Force,Air Force,
Akron,Akron,Akron,Akron,
Alabama,Alabama,Alabama,Alabama,
Alabama A&M,Alabama A&M,Alabama A&M,Alabama A&M,
Alabama St.,Alabama St.,Alabama St.,Alabama St.,
Albany,Albany,Albany,Albany,
Alcorn St.,Alcorn St.,Alcorn St.,Alcorn St.,
American,American,American,American,
Appalachian St.,Appalachian St.,Appalachian St.,Appalachian St.,
Arizona,Arizona,Arizona,Arizona,
Arizona St.,Arizona St.,Arizona St.,Arizona St.,
Arkansas,Arkansas,Arkansas,Arkansas,
Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,
Arkansas St.,Arkansas St.,Arkansas St.,Arkansas St.,
Army,Army,Army,Army,
Auburn,Auburn,Auburn,Auburn,
Austin Peay,Austin Peay,Austin Peay,Austin Peay,
BYU,BYU,BYU,BYU,
Ball St.,Ball St.,Ball St.,Ball St.,
Baylor,Baylor,Baylor,Baylor,
Bellarmine,Bellarmine,Bellarmine,Bellarmine,
Belmont,Belmont,Belmont,Belmont,
Bethune Cookman,Bethune Cookman,Bethune Cookman,Bethune Cookman,
Binghamton,Binghamton,Binghamton,Binghamton,
Boise St.,Boise St.,Boise St.,Boise St.,
Boston College,Boston College,Boston College,Boston College,
Boston University,Boston University,Boston University,Boston University,
Boston University Pat-T,Boston University Pat-T,Boston University Pat-T,Boston University Pat-T,
Bowling Green,Bowling Green,Bowling Green,Bowling Green,
Bradley,Bradley,Bradley,Bradley,
Brown,Brown,Brown,Brown,
Bryant,Bryant,Bryant,Bryant,
Bucknell,Bucknell,Bucknell,Bucknell,
Buffalo,Buffalo,Buffalo,Buffalo,
Butler,Butler,Butler,Butler,
Cal Baptist,Cal Baptist,Cal Baptist,Cal Baptist,
Cal Poly,Cal Poly,Cal Poly,Cal Poly,
Cal St. Bakersfield,Cal St. Bakersfield,Cal St. Bakersfield,Cal St. Bakersfield,
Cal St. Fullerton,Cal St. Fullerton,Cal St. Fullerton,Cal St. Fullerton,
Cal St. Northridge,Cal St. Northridge,Cal St. Northridge,Cal St. Northridge,
California,California,California,California,
Campbell,Campbell,Campbell,Campbell,
Canisius,Canisius,Canisius,Canisius,
Central Arkansas,Central Arkansas,Central Arkansas,Central Arkansas,
Central Connecticut,Central Connecticut,Central Connecticut,Central Connecticut,
Central Michigan,Central Michigan,Central Michigan,Central Michigan,
Charleston,Charleston,Charleston,Charleston,
Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern,
Charlotte,Charlotte,Charlotte,Charlotte,
Chattanooga,Chattanooga,Chattanooga,Chattanooga,
Chicago St.,Chicago St.,Chicago St.,Chicago St.,
Cincinnati,Cincinnati,Cincinnati,Cincinnati,
Clemson,Clemson,Clemson,Clemson,
Cleveland St.,Cleveland St.,Cleveland St.,Cleveland St.,
Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,
Colgate,Colgate,Colgate,Colgate,
Colgate Pat-T,Colgate Pat-T,Colgate Pat-T,Colgate Pat-T,
Colorado,Colorado,Colorado,Colorado,
Colorado St.,Colorado St.,Colorado St.,Colorado St.,
Columbia,Columbia,Columbia,Columbia,
Connecticut,Connecticut,Connecticut,Connecticut,
Coppin St.,Coppin St.,Coppin St.,Coppin St.,
Cornell,Cornell,Cornell,Cornell,
Creighton,Creighton,Creighton,Creighton,
Dartmouth,Dartmouth,Dartmouth,Dartmouth,
Davidson,Davidson,Davidson,Davidson,
Dayton,Dayton,Dayton,Dayton,
DePaul,DePaul,DePaul,DePaul,
Delaware,Delaware,Delaware,Delaware,
Delaware St.,Delaware St.,Delaware St.,Delaware St.,
Denver,Denver,Denver,Denver,
Detroit Mercy,Detroit Mercy,Detroit Mercy,Detroit Mercy,
Drake,Drake,Drake,Drake,
Drexel,Drexel,Drexel,Drexel,
Duke,Duke,Duke,Duke,
Duquesne,Duquesne,Duquesne,Duquesne,
East Carolina,East Carolina,East Carolina,East Carolina,
East Tennessee St.,East Tennessee St.,East Tennessee St.,East Tennessee St.,
East Texas A&M,East Texas A&M,East Texas A&M,East Texas A&M,
Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,
Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,
Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,
Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington,
Elon,Elon,Elon,Elon,
Evansville,Evansville,Evansville,Evansville,
FIU,FIU,FIU,FIU,
Fairfield,Fairfield,Fairfield,Fairfield,
Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,
Florida,Florida,Florida,Florida,
Florida A&M,Florida A&M,Florida A&M,Florida A&M,
Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,
Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,
Florida St.,Florida St.,Florida St.,Florida St.,
Fordham,Fordham,Fordham,Fordham,
Fresno St.,Fresno St.,Fresno St.,Fresno St.,
Furman,Furman,Furman,Furman,
Gardner Webb,Gardner Webb,Gardner Webb,Gardner Webb,
George Mason,George Mason,George Mason,George Mason,
George Washington,George Washington,George Washington,George Washington,
Georgetown,Georgetown,Georgetown,Georgetown,
Georgia,Georgia,Georgia,Georgia,
Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern,
Georgia St.,Georgia St.,Georgia St.,Georgia St.,
Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,
Gonzaga,Gonzaga,Gonzaga,Gonzaga,
Grambling St.,Grambling St.,Grambling St.,Grambling St.,
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon,
Green Bay,Green Bay,Green Bay,Green Bay,
Hampton,Hampton,Hampton,Hampton,
Harvard,Harvard,Harvard,Harvard,
Hawaii,Hawaii,Hawaii,Hawaii,
High Point,High Point,High Point,High Point,
Hofstra,Hofstra,Hofstra,Hofstra,
Holy Cross,Holy Cross,Holy Cross,Holy Cross,
Houston,Houston,Houston,Houston,
Houston Christian,Houston Christian,Houston Christian,Houston Christian,
Howard,Howard,Howard,Howard,
IU Indy,IU Indy,IU Indy,IU Indy,
Idaho,Idaho,Idaho,Idaho,
Idaho St.,Idaho St.,Idaho St.,Idaho St.,
Illinois,Illinois,Illinois,Illinois,
Illinois Chicago,Illinois Chicago,Illinois Chicago,Illinois Chicago,
Illinois St.,Illinois St.,Illinois St.,Illinois St.,
Incarnate Word,Incarnate Word,Incarnate Word,Incarnate Word,
Indiana,Indiana,Indiana,Indiana,
Indiana St.,Indiana St.,Indiana St.,Indiana St.,
Iona,Iona,Iona,Iona,
Iowa,Iowa,Iowa,Iowa,
Iowa Peacock,Iowa Peacock,Iowa Peacock,Iowa Peacock,
Iowa St.,Iowa St.,Iowa St.,Iowa St.,
Jackson St.,Jackson St.,Jackson St.,Jackson St.,
Jacksonville,Jacksonville,Jacksonville,Jacksonville,
